Moldova,251504,241553,5869
Monaco,2468,2390,32
Mongolia,41524,25641,130
Montenegro,97813,94216,1516
Morocco,512285,499089,9038
Mozambique,70031,67342,817
Namibia,48654,46238,643
Nepal,351005,287790,3417
Netherlands,1551251,26008,17475
New Zealand,2629,2578,26
Nicaragua,6989,4225,183
Niger,5286,4870,192
Nigeria,165215,155371,2063
North Macedonia,152814,134653,4992
Norway,114436,17998,757
Oman,198572,180547,2071
Pakistan,841636,738727,18429
Panama,365619,355499,6248
Papua New Guinea,11273,9773,121
Paraguay,286667,237276,6722
Peru,1818689,1766872,62674
Philippines,1073555,993042,17800
Poland,2811951,2540684,68482
Portugal,837715,797901,16981
Qatar,208232,195521,483
Romania,1060895,1002985,28616
Russia,4792354,4413678,110022
Rwanda,25351,23523,337
Saint Kitts and Nevis,45,44,0
Saint Lucia,4585,4406,74
Saint Vincent and the Grenadines,1882,1731,11
Samoa,3,2,0
San Marino,5067,4935,90
Sao Tome and Principe,2311,2254,35
Saudi Arabia,421300,404707,7006
Senegal,40544,39242,1114
Serbia,694473,0,6456
Seychelles,6373,5277,28
Sierra Leone,4068,3078,79
Singapore,61268,60823,31
Slovakia,384317,255300,11886
Slovenia,243719,229861,4279
Solomon Islands,20,20,0
Somalia,14121,6009,721
South Africa,1586148,1509656,54511
South Sudan,10613,10312,115
Spain,3544945,150376,78399
Sri Lanka,115590,99153,709
Sudan,33944,27247,2365
Suriname,10623,9542,212
Sweden,988554,0,14091
Switzerland,665585,317600,10675
Syria,23051,17529,1617
Taiwan*,1153,1067,12
Tajikistan,13308,13218,90
Tanzania,509,183,21
Thailand,74900,26873,318
Timor-Leste,2653,1334,4
Togo,13037,11306,123
Trinidad and Tobago,11706,8832,185
Tunisia,314152,266696,11016
Turkey,4929118,4554037,41527
Uganda,42032,41652,342
Ukraine,2146121,1748230,46950
United Arab Emirates,529220,509658,1601
United Kingdom,4439494,14853,127803
Uruguay,206946,179480,2861
Uzbekistan,92724,88535,655
Vanuatu,4,3,1
Venezuela,201807,184161,2208
Vietnam,2996,2560,35
West Bank and Gaza,298921,277673,3296
Yemen,6390,2948,1240
Zambia,91804,90166,1254
Zimbabwe,38327,35775,1574
US,32513455,0,578503
Global,154435614,91026848,3229995
Afghanistan,60563,53750,2648
Albania,131327,112626,2402
Algeria,122999,85693,3289
